"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000239900",136.426244255099,1.57261986237561,0.240237945012147,6.54609271776821,5.90619206178918e-11,4.7328285721804e-10
"ENSG00000100399",24.74199712182,-4.87721127334306,0.754719876936108,-6.46228014179616,1.03136932922355e-10,8.15596009030729e-10
"ENSG00000100065",34.1886096163257,4.06106918762492,0.629051144615185,6.45586487265552,1.07602590312267e-10,8.39859178930809e-10
"ENSG00000183765",38.2326321084013,3.38645418856559,0.531846285804382,6.3673551530849,1.9231551869577e-10,1.48181572738664e-09
"ENSG00000070010",134.116138853917,1.56121466969577,0.246886792039571,6.32360547438901,2.55529641279009e-10,1.94396600517322e-09
"ENSG00000133466",45.7950840299788,2.76316051353366,0.438009802514599,6.30844446327559,2.81853831760298e-10,2.11742691109924e-09
"ENSG00000128203",55.733315347082,-2.35837620211411,0.375343260787203,-6.28325175512121,3.31563472425885e-10,2.46011909787601e-09
"ENSG00000169635",77.9016682547707,1.91768479238505,0.306597028295731,6.25474031188368,3.98177904478314e-10,2.91835269013984e-09
"ENSG00000100351",32.0644415786104,6.91688980759363,1.11129963815141,6.22414474920511,4.84189907242736e-10,3.50600161750463e-09
"ENSG00000100077",227.420129063517,-1.5006411115682,0.243246985362928,-6.16920743880635,6.86331384616318e-10,4.91053764469532e-09
"ENSG00000100403",437.429008445292,-0.849537980141078,0.138728212055978,-6.12375786835831,9.13937502184568e-10,6.4620757507403e-09
"ENSG00000100075",102.513255201542,1.66496447830357,0.273019739610009,6.09833003533686,1.07182278085075e-09,7.49029641036395e-09
"ENSG00000232775",18.3865945479151,4.46546208348744,0.733765099676856,6.08568339575429,1.15995460983331e-09,8.01301977597492e-09
"ENSG00000100027",58.3451917388894,-1.99898166840694,0.330115690369991,-6.05539732499991,1.40071495004372e-09,9.56624642018493e-09
"ENSG00000100023",143.005175043008,1.34214730319904,0.22884798813902,5.86479834982737,4.49678852593033e-09,3.03659539784733e-08
"ENSG00000100234",398.770918227251,0.843942497480243,0.144220979358481,5.85173184396779,4.86480535914586e-09,3.24860891205185e-08
"ENSG00000100038",122.927235036846,1.76861138478725,0.302612192869709,5.84448157232294,5.08148286548362e-09,3.35601231006116e-08
